source_index,question
0000,"สำนักงานสรรพากรภาค หารือ กรณีการขอคืนภาษีมูลค่าเพิ่มจากการนำภาษีซื้อที่เกี่ยวข้องกับรายได้ที่เกิดขึ้นในต่างประเทศมาหักในการคำนวณภาษีมูลค่าเพิ่ม มีข้อเท็จจริงสรุปได้ คือบริษัทฯ เป็นผู้ประกอบการจดทะเบียนภาษีมูลค่าเพิ่ม ประกอบกิจการส่งออกผ้า ได้แก่ ผ้าพิมพ์ ผ้าย้อม ไปยังต่างประเทศ โดยผ่านพิธีการศุลกากร ได้รับสิทธิเสียภาษีมูลค่าเพิ่มในอัตราร้อยละ 0 ซึ่งการส่งออกผ้าดังกล่าวมี 2 ลักษณะ ดังนี้
          (1) ผ้าที่ส่งออกเพื่อขายให้แก่ลูกค้าในต่างประเทศโดยตรง บริษัทฯ ได้ยื่นแบบแสดงรายการภาษีมูลค่าเพิ่ม (ภ.พ.30) ไว้เป็นยอดขายที่เสียภาษีมูลค่าเพิ่มในอัตราร้อยละ 0
          (2) ผ้าที่ส่งออกเพื่อเป็นวัตถุดิบให้บริษัทในประเทศจีนผลิตหรือตัดเย็บเป็นเสื้อสำเร็จรูป และเมื่อบริษัทในประเทศจีนได้ผลิตเสร็จ บริษัทฯ จะจัดส่งสินค้าดังกล่าวไปยังลูกค้าของบริษัทฯ ในอีกประเทศหนึ่ง (ปานามา) โดยระบุผู้ส่งออกในใบตราส่งสินค้า (Bill of lading) เป็นชื่อของบริษัทฯ ซึ่งการขายเสื้อสำเร็จรูปของบริษัทฯ โดยการส่งจากประเทศจีนไปยังลูกค้าของบริษัทฯ อีกประเทศหนึ่งนั้น บริษัทฯ เข้าใจว่าการขายเช่นว่านี้ เป็นการขายนอกราชอาณาจักรที่ไม่อยู่ในบังคับต้องเสียภาษีมูลค่าเพิ่ม (Out of VAT Scope) และบริษัทฯ ไม่ได้นำยอดขายเสื้อสำเร็จรูปมาเป็นยอดขายที่เสียภาษีมูลค่าเพิ่มในอัตราร้อยละ 0 ในแบบ ภ.พ.30 ทั้งนี้ กรณีที่บริษัทฯ ส่งออกผ้าเพื่อให้บริษัทในประเทศจีนผลิตหรือตัดเย็บเป็นเสื้อสำเร็จรูป ดังที่กล่าวข้างต้น บริษัทฯ ได้ยื่นยอดขายที่เสียภาษีมูลค่าเพิ่มในอัตราร้อยละ 0 ในแบบ ภ.พ.30อย่างไรก็ตาม จากการที่บริษัทฯ ส่งออกผ้าไปขายกรณีตาม (1) และการขายเสื้อสำเร็จรูปกรณีตาม (2) บริษัทฯ ได้รับรู้รายได้เป็นรายได้จากการขายสินค้าและนำมารวมคำนวณกำไรสุทธิตามเกณฑ์สิทธิเพื่อเสียภาษีเงินได้นิติบุคคล ตามมาตรา 65 แห่งประมวลรัษฎากรแล้วบริษัทฯ จึง หารือว่า กรณีบริษัทฯ ส่งออกวัตถุดิบ (ผ้า) ซึ่งได้ผ่านพิธีการศุลกากรเพื่อให้บริษัทในประเทศจีนผลิตหรือตัดเย็บเป็นเสื้อสำเร็จรูป ถือว่าบริษัทฯ เป็นผู้ส่งออกได้รับสิทธิเสียภาษีมูลค่าเพิ่มในอัตราร้อยละ 0
          ตามมาตรา 80/1 แห่งประมวลรัษฎากรหรือไม่ และภาษีซื้อจากการซื้อวัตถุดิบ (ผ้าชนิดต่าง ๆ) รวมทั้งภาษีซื้อจากค่าใช้จ่ายต่าง ๆ ในการส่งออกวัตถุดิบนั้น บริษัทฯ มีสิทธินำมาหักออกจากภาษีขายในการคำนวณภาษีมูลค่าเพิ่ม ตามมาตรา 82/3 แห่งประมวลรัษฎากรได้ใช่หรือไม่"
0001,"บริษัท ก. ในฐานะผู้บริหารโครงการ และบริษัทและบริษัท ร่วมกันจัดทำโครงการประกันภัย
อุบัติเหตุเอื้ออาทรตามนโยบายของรัฐบาล เพื่อให้ประโยชน์แก่ผู้เอาประกันภัยที่ประสบอุบัติเหตุเสียชีวิต
หรือตกเป็นผู้ทุพพลภาพถาวร โดยมีการทำสัญญาการเข้าร่วมรับประกันภัยโครงการประกันภัยอุบัติเหตุ
ระหว่าง ง และผู้บริหารโครงการ โดยกำหนดสิทธิ หน้าที่ และความรับผิดชอบต่าง ๆ ของคู่สัญญาไว้
ซึ่งผู้บริหารโครงการมีหน้าที่รวบรวมและกระจายเงินเบี้ยประกันภัยให้กับบริษัทรับประกันภัยในโครงการฯ
รวมทั้งหน้าที่อื่นตามที่คณะกรรมการบริหารโครงการกำหนด ส่วนค่าใช้จ่ายในการบริหารโครงการที่ ก
จะได้รับตามข้อตกลงในสัญญาดังกล่าว ง จะเป็นผู้กำหนด ต่อมาที่ประชุมคณะกรรมการบริหารโครงการ
มีมติให้นำเงินทุนหมุนเวียนภายใต้โครงการเบี้ยประกันภัยที่กรมและ นำส่งไปลงทุนในชื่อของ ก และจะ
กระจายรายได้จากการลงทุนให้บริษัทรับประกันภัยในโครงการฯ บันทึกรับรู้เป็นรายได้ตามสัดส่วนของ
แต่ละบริษัท โดยการลงทุนดังกล่าวต้องอยู่ภายใต้ประกาศกระทรวงพาณิชย์ เรื่อง การลงทุนประกอบ
ธุรกิจอื่น ซึ่งผู้บริหารโครงการได้นำไปลงทุนในตั๋วสัญญาใช้เงินแบบเผื่อเรียก และประเภทกำหนดอายุ
1-3 เดือน และเงินฝากธนาคารประเภทออมทรัพย์เท่านั้น ผู้บริหารโครงการจึงหารือว่า จะต้องปฏิบัติ
อย่างไรเกี่ยวกับภาระภาษีเงินได้นิติบุคคลและภาษีธุรกิจเฉพาะสำหรับเงินได้จากการนำเงิน
เบี้ยประกันภัยไปลงทุนในชื่อของ ก นั้น"
0002,"องค์กรความร่วมมือ ระหว่างประเทศ A ประจำประเทศไทย (องค์กรฯ) ขอหารือเกี่ยวกับ ภาษีเงินได้หัก ณ ที่จ่าย กรณีการออกหนังสือรับรอง การหักภาษี ณ ที่จ่าย และนำส่งภาษี เงินได้หัก ณ ที่จ่ายแทน ในนามของกรม ก. มีข้อเท็จจริงสรุปได้ ดังนี้
1. รัฐบาลต่างประเทศ A. และรัฐบาลแห่งราชอาณาจักรไทย ได้มีข้อตกลงสนับสนุน “โครงการ B.” โดยมีกรม ก. เป็นหน่วยปฏิบัติงานโครงการ ในการจัดซื้อสินค้าและ การใช้บริการในประเทศไทยเพื่อใช้ในการดำเนินงานโครงการ กรมฯ เป็นผู้ทรงสิทธิ์ใช้ อัตราภาษีมูลค่าเพิ่มร้อยละ 0 โดยใช้งบประมาณของรัฐบาลต่างประเทศ
2. กรมฯ ได้มีหนังสือมอบอำนาจให้องค์กรฯ เป็นผู้ดำเนินการในการจัดซื้อสินค้าและการใช้ บริการโดยใช้อัตราภาษีมูลค่าเพิ่มร้อยละ 0 แทนกรมฯ โดยให้ผู้ขายสินค้าหรือผู้ให้บริการ ออกใบกำกับภาษีระบุชื่อ “กรม ก. โดยองค์กรความร่วมมือระหว่างประเทศ A” โดยมี ที่ตั้งเป็นที่อยู่ของกรมฯ เป็นผู้ซื้อหรือรับบริการ
3. องค์กรฯ จึงขอทราบว่าจะต้องออกหนังสือรับรองการหักภาษี ณ ที่จ่ายให้กับผู้ขายสินค้า หรือผู้ให้บริการในนามขององค์กรฯ ซึ่งจะไม่ตรงกับชื่อและที่อยู่ในใบกำกับภาษี หรือ จะต้องดำเนินการออกหนังสือรับรองการหักภาษี ณ ที่จ่าย ให้ถูกต้องได้อย่างไร"
0003,การประปา ฯ หารือ กรณีการหักกลบลบหนี้จากกรณีที่ ได้ว่าจ้างบริษัท ท. จำกัด (บริษัทฯ) ให้ก่อสร้างปรับปรุงขยายตามสัญญาจ้างเหมาก่อสร้างโครงการปรับปรุงขยายการประปา (สัญญาฯ) เนื่องจากบริษัทฯ ได้ส่งมอบงาน งวดสุดท้าย เกินระยะเวลาที่สัญญาฯ กำหนดไว้การประปาฯ จึงขอทราบว่า กรณีบริษัทฯ ได้ส่งมอบงานงวดสุดท้ายเกินระยะเวลาที่สัญญาฯ กำหนดไว้ และ การประปาฯ ได้เรียกเก็บค่าปรับโดยการหักกลบลบหนี้ระหว่างค่างานงวดสุดท้ายกับค่าปรับ การประปาฯ จะต้องหักภาษีเงินได้ ณ ที่จ่าย อย่างไร
0004,"นาย ก. เป็นพนักงานบริษัทเป็นเวลากว่า 25 ปี มีรายได้ประจำจากเงินเดือน แต่ได้รับ ค่านายหน้าเพียงครั้งเดียวในปี 2562 จากการแนะนำให้มีการซื้อที่ดินเป็นเงิน 7,444,200 บาท และถูกหักภาษีเงินได้ ณ ที่จ่ายไว้แล้ว แต่นาย ก. ไม่ได้ประกอบอาชีพนายหน้า หรือทำเป็นธุรกิจเพื่อเลี้ยงชีพ โดยได้รับค่านายหน้าจากการแนะนำให้มีการซื้อที่ดินเพียงครั้งนี้ครั้งเดียว นาย ก. ไม่มีหน้าที่ต้องเสียภาษีมูลค่าเพิ่ม ถูกต้องหรือไม่"
0005,หน่วยงาน ก. เป็นนิติบุคคล มีฐานะเป็นหน่วยงานของรัฐที่ไม่เป็นส่วนราชการ หรือรัฐวิสาหกิจตามกฎหมายว่าด้วยวิธีการงบประมาณ และตามกฎหมายจัดตั้งหน่วยงาน ในการประชุมคณะกรรมการ หน่วยงาน ก. ได้จ่ายค่าเบี้ยประชุมและค่าตอบแทนให้แก่คณะกรรมการที่เข้าร่วมประชุมซึ่งเป็นเงินได้พึงประเมินตามมาตรา 40 (2) แห่งประมวลรัษฎากร โดยหน่วยงาน ก. ได้คำนวณหักภาษีเงินได้ ณ ที่จ่าย ตามมาตรา 50 (1) แห่งประมวลรัษฎากร และออกหนังสือรับรองการหักภาษี ณ ที่จ่ายตามมาตรา 50 ทวิ แห่งประมวลรัษฎากร ระบุปีภาษี ระบุจำนวนเงินที่จ่าย และภาษีที่หักและนำส่งไว้ 0.00 บาท หน่วยงาน ก. หารือว่า หน่วยงาน ก. จะต้องนำเงินได้พึงประเมินที่คณะกรรมการได้รับจากผู้จ่ายเงินได้รายอื่นมารวมคำนวณกับค่าเบี้ยประชุมและค่าตอบแทนที่กองทุนฯ จ่ายให้คณะกรรมการด้วย หรือไม่
0006,บริษัทมีสวัสดิการเงินช่วยเหลือการศึกษาบุตรของพนักงาน โดยมอบให้พนักงานที่มีบุตรกำลังศึกษาอยู่ในสถานศึกษาในประเทศ ระดับชั้นอนุบาลและไม่สูงกว่าระดับปริญญาตรี ให้มีสิทธิได้รับเงินช่วยเหลือการศึกษาบุตรตามอัตราที่บริษัทกำหนด โดยบริษัทได้หักภาษีเงินได้หัก ณ ที่จ่าย สำหรับเงินได้ดังกล่าวของพนักงานเพื่อนำส่งสรรพากรมาโดยตลอด ทั้งนี้ เพื่อความชัดเจนว่าบริษัทได้ปฏิบัติถูกต้องแล้วหรือไม่ และเพื่อตอบข้อสงสัยแก่พนักงาน บริษัทจึงขอหารือว่าเงินช่วยเหลือการศึกษาบุตรที่บริษัทจ่ายให้แก่พนักงาน ถือเป็นเงินได้พึงประเมินที่พนักงานจะต้องนำไปรวมคำนวณเพื่อเสียภาษีเงินได้บุคคลธรรมดาหรือไม่ และบริษัทมีหน้าที่ต้องหักภาษี ณ ที่จ่าย ตามมาตรา 50 แห่งประมวลรัษฎากร หรือไม่
0007,กรณีการพิจารณาความสัมพันธ์ของบริษัทหรือห้างหุ้นส่วนนิติบุคคลที่มีความสัมพันธ์กันตามมาตรา 71 ทวิ วรรคสอง (2) แห่งประมวลรัษฎากร ที่บัญญัติไว้ว่า “ผู้ถือหุ้นหรือผู้เป็นหุ้นส่วนซึ่งถือหุ้นหรือเป็นหุ้นส่วนในนิติบุคคลหนึ่งไม่ว่าโดยตรงหรือโดยอ้อมไม่น้อยกว่าร้อยละห้าสิบของทุนทั้งหมด ถือหุ้นหรือเป็นหุ้นส่วนในอีกนิติบุคคลหนึ่งไม่ว่าโดยตรง หรือโดยอ้อมไม่น้อยกว่าร้อยละห้าสิบของทุนทั้งหมด” นั้น คำว่า “ผู้ถือหุ้นหรือผู้เป็นหุ้นส่วน” หมายความถึงผู้ถือหุ้นคนใดคนหนึ่งหรือกลุ่มผู้ถือหุ้นหลายคนรวมกันที่ถือหุ้นทับซ้อนกัน
0008,"1. บริษัท ไก่กา ได้รับงบลงทุนและงบดำเนินการจำนวน 1,700,000,000 บาท ให้เบิก เป็นเงินยืมโดยมีเงื่อนไขการชำระคืนรัฐบาลภายใน 7 ปี อัตราดอกเบี้ยร้อยละ 0 เมื่อวันที่ 12 พฤศจิกายน 2546 บริษัทฯ ได้ลงนามในสัญญากู้ยืมเงินกับหน่วยงานของรัฐโดยมีกำหนดชำระคืนในวันที่ 16 กุมภาพันธ์ 2554 หากบริษัทฯ ไม่ชำระคืนได้ครบตามจำนวนที่กำหนด ต้องจ่ายเบี้ยปรับในอัตราร้อยละ 15 ต่อปี นับแต่วันผิดนัดชำระหนี้จนกว่าจะชำระหนี้ครบจำนวน
    2. ต่อมาบริษัทฯ ไม่สามารถปฏิบัติตามสัญญากู้ยืมเงินได้และคณะรัฐมนตรีมีมติอนุมัติให้ปรับโครงสร้างหนี้จำนวน 2 ครั้ง เมื่อวันที่ 18 มิถุนายน 2556 และวันที่ 29 ธันวาคม 2563 ปัจจุบันบริษัทฯ ยังมียอดหนี้คงค้างที่ต้องชำระคืนแก่หน่วยงานของรัฐตามแผนปรับโครงสร้างหนี้ และดอกเบี้ยผิดนัด
    3. มติคณะรัฐมนตรี กำหนดให้ขยายระยะเวลาการชำระคืนเงินยืมของบริษัทฯ ทั้งต้นเงินยืมและดอกเบี้ย รวมทั้งดอกเบี้ยผิดนัดจากสัญญาเดิมนับแต่ปี 2563 ออกไปอีก 25 ปี (2563 ถึง 2587) และเปลี่ยนแปลงเงื่อนไขการชำระคืนเงินยืม ให้มีผลนับแต่วันที่ 31 ธันวาคม 2563 เป็นต้นไป ดังนี้
        3.1 ตั้งแต่ปี 2563 ถึงปี 2569 รวมระยะเวลา 7 ปี ให้พักชำระต้นเงินและดอกเบี้ยโดยภาระดอกเบี้ยที่เกิดขึ้นในช่วงพักชำระหนี้ดังกล่าว ให้บริษัทฯ เฉลี่ยทยอยชำระคืนแก่หน่วยงานของรัฐในช่วงชำระคืนต้นเงินยืม
        3.2 ตั้งแต่ปี 2570 ถึงปี 2582 รวมระยะเวลา 13 ปี ให้ชำระคืนต้นเงินยืมพร้อมดอกเบี้ยให้หน่วยงานของรัฐ
        3.3 ดอกเบี้ยที่เกิดขึ้นในปี 2563 ใช้อัตราดอกเบี้ยตามสัญญาเดิมที่ร้อยละ 3.78 ต่อปี และปรับใช้อัตราผลตอบแทนของพันธบัตรรัฐบาล (Government Bond Yield) อายุ 20 ปี ณ วันที่ 30 ธันวาคม 2563 เป็นอัตราดอกเบี้ยใหม่ตั้งแต่ปี 2564 เป็นต้นไป
        3.4 ตั้งแต่ปี 2583 ถึงปี 2587 รวมระยะเวลาทยอยชำระคืนดอกเบี้ยผิดนัดตามสัญญาเดิม
    บริษัทฯ ขอหารือว่าดอกเบี้ยจ่ายที่ได้รับการพักชำระหนี้ตั้งแต่ปี 2563 ถึงปี 2569 เป็นระยะเวลา 7 ปี ในทางบัญชีทยอยรับรู้รายการดอกเบี้ยจ่ายดังกล่าวตามรอบระยะเวลาบัญชีที่เกิดภาระดอกเบี้ยจ่ายนั้นเป็นประจำทุกปี ตั้งแต่ปี 2563 ถึงปี 2582 รวมระยะเวลา 20 ปี กล่าวคือ ปี 2563 ฝ่ายบัญชีได้บันทึกรายการดอกเบี้ยจ่ายเป็นรายจ่าย ในการคำนวณกำไรสุทธิเพื่อเสียภาษีเงินได้นิติบุคคลประจำปีได้หรือไม่"
0009,"สำนักงานเป็นหน่วยงานของรัฐที่ตั้งขึ้นตามพระราชบัญญัติมีภารกิจในการพัฒนานโยบายสาธารณะเพื่อสุขภาพ โดยสำนักงานได้รับงบประมาณหมวดอุดหนุนทั่วไปจากรัฐบาลเป็นรายปี และคณะกรรมการบริหารสำนักงานได้ออกระเบียบคณะกรรมการบริหารสำนักงาน โดยมีการกำหนดเรื่องของการจ่ายเงินเพื่อการสนับสนุนหรือดำเนินโครงการของสำนักงานว่าเป็นการจ่ายเงินสนับสนุนให้หน่วยราชการ องค์กรนิติบุคคล องค์กรที่ไม่ใช่นิติบุคคล ซึ่งภายใต้การจ่ายเงินเพื่อสนับสนุนหรือการดำเนินการโครงการของสำนักงาน จะมีการจัดทำข้อตกลงเพื่อการปฏิบัติงานโครงการ (MOU) เพื่อให้เกิดการยอมรับและยืนยันในสิทธิและหน้าที่ของแต่ละฝ่าย ไม่มีสภาพบังคับตามนัยของสัญญา โดยโครงการที่จะได้รับการสนับสนุนมี 2 ประเภท ได้แก่
    1. โครงการที่สนับสนุนหน่วยงาน องค์กร ภาคีเครือข่าย ในระดับพื้นที่ ในการจ่ายเงินสนับสนุนโครงการจะแบ่งจ่ายตามงวดงาน งวดเงินที่ตกลงกันไว้ และการจ่ายเงินให้แก่ผู้รับการสนับสนุนจะไม่มีการหักภาษีเงินได้ ณ ที่จ่าย แต่อย่างใด เนื่องจากไม่มีการจ่ายค่าตอบแทนให้แก่ผู้รับการสนับสนุน
    2. โครงการที่สนับสนุนการปฏิบัติงานวิชาการให้กับหน่วยงาน องค์กรภาคีเครือข่ายทุกภาคส่วน แบ่งการจ่ายเงินสนับสนุนเป็น 3 หมวด คือ หมวดค่าดำเนินการ หมวดค่าบริหารจัดการ และหมวดค่าตอบแทน ซึ่งในหมวดค่าตอบแทน สำนักงานจะหักภาษีเงินได้ ณ ที่จ่ายร้อยละ 1 จากหัวหน้าโครงการหรือผู้รับผิดชอบหลักเท่านั้นส่วนค่าตอบแทนที่ไม่สามารถระบุตัวบุคคลผู้รับเงิน สำนักงานไม่ได้หักภาษีเงินได้ ณ ที่จ่าย โดยจะให้ผู้รับเงินสนับสนุนโครงการ หรือผู้รับผิดชอบโครงการไปดำเนินหักภาษีเงินได้ ณ ที่จ่ายเอง
    สำนักงานขอหารือ ดังนี้
    1. การที่สำนักงานถือว่าการให้การสนับสนุนโครงการทั้งสองประเภทที่ได้ทำเป็นข้อตกลงเพื่อการปฏิบัติงานโครงการดังกล่าว ไม่ถือว่าเป็นสัญญาจ้างทำของ ตามมาตรา 587 แห่งประมวลกฎหมายแพ่งและพาณิชย์ ถูกต้องแล้วหรือไม่
    2. การที่สำนักงานถือว่าเงินสนับสนุนโครงการทั้งสองประเภทไม่ถือว่าเป็นเงินได้พึงประเมินตามมาตรา 40 (8) แห่งประมวลรัษฎากร จึงไม่ต้องหักภาษีเงินได้ ณ ที่จ่าย ทุกครั้งที่มีการจ่ายเงินสนับสนุนโครงการให้กับภาคีเครือข่ายถูกต้องแล้วหรือไม่
    3. การที่สำนักงานถือว่าข้อตกลงเพื่อการปฏิบัติงานโครงการทั้งสองประเภทไม่ต้องปิดอากรแสตมป์ตามมาตรา 104 แห่งประมวลรัษฎากร ถูกต้องแล้วหรือไม่"
